"","Location","... <- NULL","rsquared <- summary(lm(log(Predator.mass) ~ log(Prey.mass)))$r.squared","fstatistic <- summary(lm(log(Predator.mass) ~ log(Prey.mass)))$fstatistic[1]"
"1","Andaman Sea (West of South Thailand)",4.2333643644933e-05,0.412420670135113,22.4607312979481
"2","Antarctic Peninsula",6.04769965249907e-49,0.092544292039114,227.114267465702
"3","Apalachicola Bay, Florida",2.20473006506627e-29,0.524190346741072,188.387412232564
"4","Atlantic Ocean",0,0.137253446740317,2558.46855851001
"5","Cape Cod Bay, Gulf of Maine, New England",0.0414038463655945,0.0474818095493337,4.28698964721156
"6","Catalan Sea",4.70821273070676e-33,0.280072857461197,170.005867925651
"7","Crooked Island Sound, Florida",3.37813443070404e-09,0.293713022751524,42.0013624114544
"8","Eastern Mediterranean",1.1890381709094e-143,0.832431495683019,1813.21362963023
"9","Europe, Celtic Sea ecosystem",2.57239252512457e-205,0.360856572626597,1179.43695879791
"10","French Polynesian EEZ",0.26052843127323,0.000315765731284322,1.26630467233974
"11","Great Channel South, Gulf of Maine, New England",1.22745109878182e-23,0.125560409634164,107.548592095016
"12","Great South Bay, Long Island, New York",8.43412441946392e-22,0.268430572529679,108.242657392169
"13","Greenland",0.0283256454055264,0.0982205090743173,5.11917156349851
"14","Gulf of Alaska",0.020866435020187,0.118009350045005,5.75335129935236
"15","Gulf of Maine, New England",0.2037000557109,0.0191625310965622,1.64110024661965
"16","Jeffreys Ledge, Gulf of Maine, New England",2.9501245872327e-05,0.0403660041630349,17.8351182215043
"17","Mid Atlantic",2.64521457418093e-07,0.213159550595364,30.070530987557
"18","NE North Sea and Skaggerak",1.36957984453215e-06,0.715421579592819,47.7654278662958
"19","Off the Bay of Biscay",0,0.60048228071209,6628.3089087019
"20","Oxwich Bay, Wales",8.77947893508722e-26,0.0805459740919785,115.021372469739
"21","South of Marthas Vineyard, New England",0.000357067809765139,0.259004419552128,15.0300357176354
"22","Stellwagen Bank, Gulf of Maine, New England",0.00110170497482193,0.0206425426109104,10.7706733579141
"23","Strait of Georgia",1.22436104795168e-69,0.391426360676384,403.277947459018
"24","W Greenland",7.4173142284987e-07,0.141581287745323,26.554159411467
"25","Western North Pacific",1.22350433682445e-29,0.249916753940325,148.267483759525
